priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,s1,s2,s3,s4,addr,_package,_class,_method
L,B,SE_NO_SERIALVERSIONID,com.helger.as2demo.springboot.ServletConfig$MyAS2ReceiveServlet,NO_FIELD,NO_METHOD,65,74,0,-1.0,-1.0,-1.0,-1.0,SnVI,com.helger.as2demo.springboot,com.helger.as2demo.springboot.ServletConfig,com.helger.as2demo.springboot.ServletConfig$MyAS2ReceiveServlet.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2demo.springboot.ServletConfig$MyAS2MDNReceiveServlet,NO_FIELD,NO_METHOD,82,91,0,-1.0,-1.0,-1.0,-1.0,SnVI,com.helger.as2demo.springboot,com.helger.as2demo.springboot.ServletConfig,com.helger.as2demo.springboot.ServletConfig$MyAS2MDNReceiveServlet.NO_METHOD
M,V,EI_EXPOSE_REP,com.helger.as2.cmdprocessor.AbstractCommandProcessor,m_aAttrs,attrs()Lcom/helger/commons/collection/attr/StringMap;,66,66,0,0.0,1.0,1.0,1.0000000000000002,EI,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.AbstractCommandProcessor,com.helger.as2.cmdprocessor.AbstractCommandProcessor.attrs
M,V,EI_EXPOSE_REP,com.helger.as2.util.FileMonitor,m_aListeners,getListeners()Lcom/helger/commons/collection/impl/ICommonsList;,126,126,0,0.0,1.0,0.9899885353246648,1.0000000000000002,EI,com.helger.as2.util,com.helger.as2.util.FileMonitor,com.helger.as2.util.FileMonitor.getListeners
M,V,EI_EXPOSE_REP2,com.helger.as2.util.FileMonitor,m_aListeners,setListeners(Lcom/helger/commons/collection/impl/ICommonsList;)V,118,118,0,0.0,1.0,0.9899412353124116,1.0,EI2,com.helger.as2.util,com.helger.as2.util.FileMonitor,com.helger.as2.util.FileMonitor.setListeners
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,com.helger.as2.util.FileMonitor,NO_FIELD,<init>(Ljava/io/File;I)V,62,62,0,0.0,0.0,0.3209639140172895,0.383253449345534,MC,com.helger.as2.util,com.helger.as2.util.FileMonitor,com.helger.as2.util.FileMonitor.<init>
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,com.helger.as2.util.FileMonitor,NO_FIELD,<init>(Ljava/io/File;I)V,62,62,0,0.0,0.0,0.3209639140172895,0.383253449345534,MC,com.helger.as2.util,com.helger.as2.util.FileMonitor,com.helger.as2.util.FileMonitor.<init>
M,V,EI_EXPOSE_REP2,com.helger.as2.app.cert.ServerCertificateFactory,m_aFileMonitor,setFileMonitor(Lcom/helger/as2/util/FileMonitor;)V,66,66,0,0.0,1.0,0.9899412353124116,1.0,EI2,com.helger.as2.app.cert,com.helger.as2.app.cert.ServerCertificateFactory,com.helger.as2.app.cert.ServerCertificateFactory.setFileMonitor
M,V,EI_EXPOSE_REP,com.helger.as2.app.cert.ServerCertificateFactory,m_aFileMonitor,getFileMonitor()Lcom/helger/as2/util/FileMonitor;,89,89,0,0.0,1.0,0.9899885353246648,1.0000000000000002,EI,com.helger.as2.app.cert,com.helger.as2.app.cert.ServerCertificateFactory,com.helger.as2.app.cert.ServerCertificateFactory.getFileMonitor
M,D,SF_SWITCH_NO_DEFAULT,com.helger.as2.app.cert.ServerCertificateFactory,NO_FIELD,onFileMonitorEvent(Lcom/helger/as2/util/FileMonitor;Ljava/io/File;Lcom/helger/as2/util/EFileMonitorEvent;)V,94,105,0,0.0,0.0,0.0,0.0,SF,com.helger.as2.app.cert,com.helger.as2.app.cert.ServerCertificateFactory,com.helger.as2.app.cert.ServerCertificateFactory.onFileMonitorEvent
M,V,MS_EXPOSE_REP,com.helger.as2.cmd.CommandManager,s_aDefaultManager,getCmdManager()Lcom/helger/as2/cmd/CommandManager;,57,57,0,0.0,1.0,0.9892971851703646,1.0000000000000002,MS,com.helger.as2.cmd,com.helger.as2.cmd.CommandManager,com.helger.as2.cmd.CommandManager.getCmdManager
M,V,EI_EXPOSE_REP2,com.helger.as2.cmd.CommandManager,m_aProcessors,setProcessors(Lcom/helger/commons/collection/impl/ICommonsList;)V,62,62,0,0.0,1.0,0.9899412353124116,1.0,EI2,com.helger.as2.cmd,com.helger.as2.cmd.CommandManager,com.helger.as2.cmd.CommandManager.setProcessors
M,V,EI_EXPOSE_REP,com.helger.as2.cmd.CommandManager,m_aProcessors,getProcessors()Lcom/helger/commons/collection/impl/ICommonsList;,69,69,0,0.0,1.0,0.9899885353246648,1.0000000000000002,EI,com.helger.as2.cmd,com.helger.as2.cmd.CommandManager,com.helger.as2.cmd.CommandManager.getProcessors
L,M,LI_LAZY_INIT_STATIC,com.helger.as2.cmd.CommandManager,s_aDefaultManager,getCmdManager()Lcom/helger/as2/cmd/CommandManager;,55,56,0,0.0,0.0,0.0,0.0,LI,com.helger.as2.cmd,com.helger.as2.cmd.CommandManager,com.helger.as2.cmd.CommandManager.getCmdManager
