priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,addr,_package,_class,_method
M,V,EI_EXPOSE_REP,com.helger.as2.cmdprocessor.AbstractCommandProcessor,m_aAttrs,attrs()Lcom/helger/commons/collection/attr/StringMap;,66,66,0,EI,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.AbstractCommandProcessor,com.helger.as2.cmdprocessor.AbstractCommandProcessor.attrs
H,D,NP_METHOD_RETURN_RELAXING_ANNOTATION,com.helger.as2.cmd.AbstractCommand,NO_FIELD,getName()Ljava/lang/String;,76,76,0,NP,com.helger.as2.cmd,com.helger.as2.cmd.AbstractCommand,com.helger.as2.cmd.AbstractCommand.getName
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.BaseCommandRegistry,NO_FIELD,NO_METHOD,46,69,0,SnVI,com.helger.as2.cmd,com.helger.as2.cmd.BaseCommandRegistry,com.helger.as2.cmd.BaseCommandRegistry.NO_METHOD
M,V,EI_EXPOSE_REP,com.helger.as2.util.FileMonitor,m_aListeners,getListeners()Lcom/helger/commons/collection/impl/ICommonsList;,126,126,0,EI,com.helger.as2.util,com.helger.as2.util.FileMonitor,com.helger.as2.util.FileMonitor.getListeners
M,V,EI_EXPOSE_REP2,com.helger.as2.util.FileMonitor,m_aListeners,setListeners(Lcom/helger/commons/collection/impl/ICommonsList;)V,118,118,0,EI2,com.helger.as2.util,com.helger.as2.util.FileMonitor,com.helger.as2.util.FileMonitor.setListeners
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,com.helger.as2.util.FileMonitor,NO_FIELD,<init>(Ljava/io/File;I)V,62,62,0,MC,com.helger.as2.util,com.helger.as2.util.FileMonitor,com.helger.as2.util.FileMonitor.<init>
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,com.helger.as2.util.FileMonitor,NO_FIELD,<init>(Ljava/io/File;I)V,62,62,0,MC,com.helger.as2.util,com.helger.as2.util.FileMonitor,com.helger.as2.util.FileMonitor.<init>
M,V,EI_EXPOSE_REP2,com.helger.as2.app.cert.ServerCertificateFactory,m_aFileMonitor,setFileMonitor(Lcom/helger/as2/util/FileMonitor;)V,66,66,0,EI2,com.helger.as2.app.cert,com.helger.as2.app.cert.ServerCertificateFactory,com.helger.as2.app.cert.ServerCertificateFactory.setFileMonitor
M,V,EI_EXPOSE_REP,com.helger.as2.app.cert.ServerCertificateFactory,m_aFileMonitor,getFileMonitor()Lcom/helger/as2/util/FileMonitor;,89,89,0,EI,com.helger.as2.app.cert,com.helger.as2.app.cert.ServerCertificateFactory,com.helger.as2.app.cert.ServerCertificateFactory.getFileMonitor
M,D,SF_SWITCH_NO_DEFAULT,com.helger.as2.app.cert.ServerCertificateFactory,NO_FIELD,onFileMonitorEvent(Lcom/helger/as2/util/FileMonitor;Ljava/io/File;Lcom/helger/as2/util/EFileMonitorEvent;)V,94,105,0,SF,com.helger.as2.app.cert,com.helger.as2.app.cert.ServerCertificateFactory,com.helger.as2.app.cert.ServerCertificateFactory.onFileMonitorEvent
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.app.cert.ServerCertificateFactory,NO_FIELD,NO_METHOD,50,122,0,SnVI,com.helger.as2.app.cert,com.helger.as2.app.cert.ServerCertificateFactory,com.helger.as2.app.cert.ServerCertificateFactory.NO_METHOD
M,B,SE_BAD_FIELD,com.helger.as2.app.cert.ServerCertificateFactory,m_aFileMonitor,NO_METHOD,-1,-1,0,Se,com.helger.as2.app.cert,com.helger.as2.app.cert.ServerCertificateFactory,com.helger.as2.app.cert.ServerCertificateFactory.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.app.cert.ServerPKCS12CertificateFactory,NO_FIELD,NO_METHOD,44,52,0,SnVI,com.helger.as2.app.cert,com.helger.as2.app.cert.ServerPKCS12CertificateFactory,com.helger.as2.app.cert.ServerPKCS12CertificateFactory.NO_METHOD
M,V,MS_EXPOSE_REP,com.helger.as2.cmd.CommandManager,s_aDefaultManager,getCmdManager()Lcom/helger/as2/cmd/CommandManager;,57,57,0,MS,com.helger.as2.cmd,com.helger.as2.cmd.CommandManager,com.helger.as2.cmd.CommandManager.getCmdManager
M,V,EI_EXPOSE_REP2,com.helger.as2.cmd.CommandManager,m_aProcessors,setProcessors(Lcom/helger/commons/collection/impl/ICommonsList;)V,62,62,0,EI2,com.helger.as2.cmd,com.helger.as2.cmd.CommandManager,com.helger.as2.cmd.CommandManager.setProcessors
M,V,EI_EXPOSE_REP,com.helger.as2.cmd.CommandManager,m_aProcessors,getProcessors()Lcom/helger/commons/collection/impl/ICommonsList;,69,69,0,EI,com.helger.as2.cmd,com.helger.as2.cmd.CommandManager,com.helger.as2.cmd.CommandManager.getProcessors
L,M,LI_LAZY_INIT_STATIC,com.helger.as2.cmd.CommandManager,s_aDefaultManager,getCmdManager()Lcom/helger/as2/cmd/CommandManager;,55,56,0,LI,com.helger.as2.cmd,com.helger.as2.cmd.CommandManager,com.helger.as2.cmd.CommandManager.getCmdManager
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.partner.DeletePartnershipCommand,NO_FIELD,NO_METHOD,46,82,0,SnVI,com.helger.as2.cmd.partner,com.helger.as2.cmd.partner.DeletePartnershipCommand,com.helger.as2.cmd.partner.DeletePartnershipCommand.NO_METHOD
M,V,EI_EXPOSE_REP,com.helger.as2.app.session.AS2ServerXMLSession,m_aCmdManager,getCommandManager()Lcom/helger/as2/cmd/CommandManager;,106,106,0,EI,com.helger.as2.app.session,com.helger.as2.app.session.AS2ServerXMLSession,com.helger.as2.app.session.AS2ServerXMLSession.getCommandManager
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.app.session.AS2ServerXMLSession,NO_FIELD,NO_METHOD,80,209,0,SnVI,com.helger.as2.app.session,com.helger.as2.app.session.AS2ServerXMLSession,com.helger.as2.app.session.AS2ServerXMLSession.NO_METHOD
M,B,SE_BAD_FIELD,com.helger.as2.app.session.AS2ServerXMLSession,m_aCmdManager,NO_METHOD,-1,-1,0,Se,com.helger.as2.app.session,com.helger.as2.app.session.AS2ServerXMLSession,com.helger.as2.app.session.AS2ServerXMLSession.NO_METHOD
M,V,EI_EXPOSE_REP,com.helger.as2.cmd.MultiCommand,m_aCmds,getCommands()Lcom/helger/commons/collection/impl/ICommonsList;,76,76,0,EI,com.helger.as2.cmd,com.helger.as2.cmd.MultiCommand,com.helger.as2.cmd.MultiCommand.getCommands
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.MultiCommand,NO_FIELD,NO_METHOD,47,141,0,SnVI,com.helger.as2.cmd,com.helger.as2.cmd.MultiCommand,com.helger.as2.cmd.MultiCommand.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.XMLCommandRegistry,NO_FIELD,NO_METHOD,51,122,0,SnVI,com.helger.as2.cmd,com.helger.as2.cmd.XMLCommandRegistry,com.helger.as2.cmd.XMLCommandRegistry.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.cert.ImportCertInEncodedStreamCommand,NO_FIELD,NO_METHOD,48,108,0,SnVI,com.helger.as2.cmd.cert,com.helger.as2.cmd.cert.ImportCertInEncodedStreamCommand,com.helger.as2.cmd.cert.ImportCertInEncodedStreamCommand.NO_METHOD
H,I,DM_DEFAULT_ENCODING,com.helger.as2.cmd.cert.ImportCertInEncodedStreamCommand,NO_FIELD,_importCert(Lcom/helger/as2lib/cert/IAliasedCertificateFactory;Ljava/lang/String;Ljava/lang/String;)Lcom/helger/as2/cmd/CommandResult;,90,90,0,Dm,com.helger.as2.cmd.cert,com.helger.as2.cmd.cert.ImportCertInEncodedStreamCommand,com.helger.as2.cmd.cert.ImportCertInEncodedStreamCommand._importCert
L,I,DM_CONVERT_CASE,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,processCommand()V,191,191,0,Dm,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.processCommand
