jmeld,SF_SWITCH_NO_DEFAULT,50
jmeld,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,26
jmeld,OS_OPEN_STREAM_EXCEPTION_PATH,38
jmeld,BC_UNCONFIRMED_CAST,12
jmeld,REC_CATCH_EXCEPTION,91
jmeld,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,117
jmeld,DM_DEFAULT_ENCODING,37
jmeld,UPM_UNCALLED_PRIVATE_METHOD,93
jmeld,EI_EXPOSE_REP,147
jmeld,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,57
jmeld,DLS_DEAD_LOCAL_STORE,62
jmeld,EQ_COMPARETO_USE_OBJECT_EQUALS,31
jmeld,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,104
jmeld,SW_SWING_METHODS_INVOKED_IN_SWING_THREAD,9
jmeld,SIC_INNER_SHOULD_BE_STATIC_ANON,28
jmeld,SA_FIELD_SELF_ASSIGNMENT,19
jmeld,REFLC_REFLECTION_MAY_INCREASE_ACCESSIBILITY_OF_CLASS,55
jmeld,DMI_RANDOM_USED_ONLY_ONCE,57
jmeld,DLS_DEAD_LOCAL_STORE_OF_NULL,17
jmeld,EI_EXPOSE_REP2,186
jmeld,UR_UNINIT_READ,19
jmeld,SIC_INNER_SHOULD_BE_STATIC,81
jmeld,MS_EXPOSE_REP,55
